prompt,seed,width,height,sampler,cfgs,steps,filename,negative_prompt,sd_model_name,sd_model_hash
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, (thick outlines, thick contours),

outdoors, farm, hay,

1girl, ((bovine girl: 1.4)), anthro, ((furry: 1.4)), furry girl, long eyelashes, furry bovine girl, sexy, ((narrow eyes: 1.3)), cow eyes, cow pupils, brown eyes, cow ears, ((bovine fur: 1)), cow spots fur, bovine spotted fur, ((black and white cow fur: 1.3)), ((cow face: 1.3)), huge lips, full lips, thick lips, bolted on lips, bimbo lips, short hair futanari, white hair futanari, slicked back hair futanari, tired,


big breasts, gigantic ass, bubble butt, wide hips, ribs visible, hyper muscular futanari, toned body, toned abs, hyper huge muscles, huge arms, huge legs, huge shoulders, hyper muscular, hyper muscles, fat, chubby,

naked, nude,

gigantic futanari penis, hyper long futanari penis, gigantic futanari testicles, very thick futanari penis, veiny futanari penis, equine futanari penis, futanari horse penis, pink and black futanari horse penis, vagina, Penis between breasts, penis over shoulder,

dynamic view, dynamic angle, dynamic shot, ((focus on Horse girl)), closeup, looking down at vagina,

lying on back, covered in cum, excessive cum, cum everywhere, post sex, sweat, tired, cum leaking from vagina, cum on breasts, cum on body, hands on vagina, lifting testicles, revealing vagina,

<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>, <lora:ATRex_style:.45>, <lora:Libidos_Style__IllustriousPony:.3>, <lora:Bolted_On_Lips_v4:.4>, <lora:gideon_IL:.18>, <lora:Vikings_Gideon_Lora:.18>,",1572637628,1216,1216,DPM++ 2M,7,30,00000-1572637628.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, purple eyes, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring, low angle, high angle, white fur, cum, precum, wet, penis tongue, white hair, white face, white markings, breasts pov, female pov, futanari pov, pubic hair, gloves, muscular male,",prefectIllustriousXL_40,462cf8610a
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, (thick outlines, thick contours),

outdoors, farm, hay,

1girl, ((bovine girl: 1.4)), anthro, ((furry: 1.4)), furry girl, long eyelashes, furry bovine girl, sexy, ((narrow eyes: 1.3)), cow eyes, cow pupils, brown eyes, cow ears, ((bovine fur: 1)), cow spots fur, bovine spotted fur, ((black and white cow fur: 1.3)), ((cow face: 1.3)), huge lips, full lips, thick lips, bolted on lips, bimbo lips, short hair futanari, white hair futanari, slicked back hair futanari, tired,


big breasts, gigantic ass, bubble butt, wide hips, ribs visible, hyper muscular futanari, toned body, toned abs, hyper huge muscles, huge arms, huge legs, huge shoulders, hyper muscular, hyper muscles, fat, chubby,

naked, nude,

gigantic futanari penis, hyper long futanari penis, gigantic futanari testicles, very thick futanari penis, veiny futanari penis, equine futanari penis, futanari horse penis, pink and black futanari horse penis, vagina, Penis between breasts, penis over shoulder,

dynamic view, dynamic angle, dynamic shot, ((focus on Horse girl)), closeup, looking down at vagina,

lying on back, covered in cum, excessive cum, cum everywhere, post sex, sweat, tired, cum leaking from vagina, cum on breasts, cum on body, hands on vagina, lifting testicles, revealing vagina,

<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>, <lora:ATRex_style:.45>, <lora:Libidos_Style__IllustriousPony:.3>, <lora:Bolted_On_Lips_v4:.4>, <lora:gideon_IL:.18>, <lora:Vikings_Gideon_Lora:.18>,",1572637630,1216,1216,DPM++ 2M,7,30,00001-1572637630.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, purple eyes, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring, low angle, high angle, white fur, cum, precum, wet, penis tongue, white hair, white face, white markings, breasts pov, female pov, futanari pov, pubic hair, gloves, muscular male,",prefectIllustriousXL_40,462cf8610a
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, (thick outlines, thick contours),

outdoors, farm, hay,

1girl, ((bovine girl: 1.4)), anthro, ((furry: 1.4)), furry girl, long eyelashes, furry bovine girl, sexy, ((narrow eyes: 1.3)), cow eyes, cow pupils, brown eyes, cow ears, ((bovine fur: 1)), cow spots fur, bovine spotted fur, ((black and white cow fur: 1.3)), ((cow face: 1.3)), huge lips, full lips, thick lips, bolted on lips, bimbo lips, short hair futanari, white hair futanari, slicked back hair futanari, tired,


big breasts, gigantic ass, bubble butt, wide hips, ribs visible, hyper muscular futanari, toned body, toned abs, hyper huge muscles, huge arms, huge legs, huge shoulders, hyper muscular, hyper muscles, fat, chubby,

naked, nude,

gigantic futanari penis, hyper long futanari penis, gigantic futanari testicles, very thick futanari penis, veiny futanari penis, equine futanari penis, futanari horse penis, pink and black futanari horse penis, vagina, Penis between breasts, penis over shoulder,

dynamic view, dynamic angle, dynamic shot, ((focus on Horse girl)), closeup, looking down at vagina,

lying on back, covered in cum, excessive cum, cum everywhere, post sex, sweat, tired, cum leaking from vagina, cum on breasts, cum on body, hands on vagina, lifting testicles, revealing vagina,

<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>, <lora:ATRex_style:.45>, <lora:Libidos_Style__IllustriousPony:.3>, <lora:Bolted_On_Lips_v4:.4>, <lora:gideon_IL:.18>, <lora:Vikings_Gideon_Lora:.18>,",1572637633,1216,1216,DPM++ 2M,7,30,00002-1572637633.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, purple eyes, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring, low angle, high angle, white fur, cum, precum, wet, penis tongue, white hair, white face, white markings, breasts pov, female pov, futanari pov, pubic hair, gloves, muscular male,",prefectIllustriousXL_40,462cf8610a
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, (thick outlines, thick contours),

outdoors, farm, hay,

1girl, ((bovine girl: 1.4)), anthro, ((furry: 1.4)), furry girl, long eyelashes, furry bovine girl, sexy, ((narrow eyes: 1.3)), cow eyes, cow pupils, brown eyes, cow ears, ((bovine fur: 1)), cow spots fur, bovine spotted fur, ((black and white cow fur: 1.3)), ((cow face: 1.3)), huge lips, full lips, thick lips, bolted on lips, bimbo lips, short hair futanari, white hair futanari, slicked back hair futanari, tired,


big breasts, gigantic ass, bubble butt, wide hips, ribs visible, hyper muscular futanari, toned body, toned abs, hyper huge muscles, huge arms, huge legs, huge shoulders, hyper muscular, hyper muscles, fat, chubby,

naked, nude,

gigantic futanari penis, hyper long futanari penis, gigantic futanari testicles, very thick futanari penis, veiny futanari penis, equine futanari penis, futanari horse penis, pink and black futanari horse penis, vagina, Penis between breasts, penis over shoulder,

dynamic view, dynamic angle, dynamic shot, ((focus on Horse girl)), closeup, looking down at vagina,

lying on back, covered in cum, excessive cum, cum everywhere, post sex, sweat, tired, cum leaking from vagina, cum on breasts, cum on body, hands on vagina, lifting testicles, revealing vagina,

<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>, <lora:ATRex_style:.45>, <lora:Libidos_Style__IllustriousPony:.3>, <lora:Bolted_On_Lips_v4:.4>, <lora:gideon_IL:.18>, <lora:Vikings_Gideon_Lora:.18>,",1572637634,1216,1216,DPM++ 2M,7,30,00003-1572637634.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, purple eyes, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring, low angle, high angle, white fur, cum, precum, wet, penis tongue, white hair, white face, white markings, breasts pov, female pov, futanari pov, pubic hair, gloves, muscular male,",prefectIllustriousXL_40,462cf8610a
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, (thick outlines, thick contours),

outdoors, farm, hay,

1girl, ((bovine girl: 1.4)), anthro, ((furry: 1.4)), furry girl, long eyelashes, furry bovine girl, sexy, ((narrow eyes: 1.3)), cow eyes, cow pupils, brown eyes, cow ears, ((bovine fur: 1)), cow spots fur, bovine spotted fur, ((black and white cow fur: 1.3)), ((cow face: 1.3)), huge lips, full lips, thick lips, bolted on lips, bimbo lips, short hair futanari, white hair futanari, slicked back hair futanari, tired,


big breasts, gigantic ass, bubble butt, wide hips, ribs visible, hyper muscular futanari, toned body, toned abs, hyper huge muscles, huge arms, huge legs, huge shoulders, hyper muscular, hyper muscles, fat, chubby,

naked, nude,

gigantic futanari penis, hyper long futanari penis, gigantic futanari testicles, very thick futanari penis, veiny futanari penis, equine futanari penis, futanari horse penis, pink and black futanari horse penis, vagina, Penis between breasts, penis over shoulder,

dynamic view, dynamic angle, dynamic shot, ((focus on Horse girl)), closeup, looking down at vagina,

lying on back, covered in cum, excessive cum, cum everywhere, post sex, sweat, tired, cum leaking from vagina, cum on breasts, cum on body, hands on vagina, lifting testicles, revealing vagina,

<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>, <lora:ATRex_style:.45>, <lora:Libidos_Style__IllustriousPony:.3>, <lora:Bolted_On_Lips_v4:.4>, <lora:gideon_IL:.18>, <lora:Vikings_Gideon_Lora:.18>,",1572637643,1216,1216,DPM++ 2M,7,30,00004-1572637643.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, purple eyes, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring, low angle, high angle, white fur, cum, precum, wet, penis tongue, white hair, white face, white markings, breasts pov, female pov, futanari pov, pubic hair, gloves, muscular male,",prefectIllustriousXL_40,462cf8610a
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, (thick outlines, thick contours),

outdoors, farm, hay,

1girl, ((bovine girl: 1.4)), anthro, ((furry: 1.4)), furry girl, long eyelashes, furry bovine girl, sexy, ((narrow eyes: 1.3)), cow eyes, cow pupils, brown eyes, cow ears, ((bovine fur: 1)), cow spots fur, bovine spotted fur, ((black and white cow fur: 1.3)), ((cow face: 1.3)), huge lips, full lips, thick lips, bolted on lips, bimbo lips, short hair futanari, white hair futanari, slicked back hair futanari, tired,


big breasts, gigantic ass, bubble butt, wide hips, ribs visible, hyper muscular futanari, toned body, toned abs, hyper huge muscles, huge arms, huge legs, huge shoulders, hyper muscular, hyper muscles, fat, chubby,

naked, nude,

gigantic futanari penis, hyper long futanari penis, gigantic futanari testicles, very thick futanari penis, veiny futanari penis, equine futanari penis, futanari horse penis, pink and black futanari horse penis, vagina, Penis between breasts, penis over shoulder,

dynamic view, dynamic angle, dynamic shot, ((focus on Horse girl)), closeup, looking down at vagina,

lying on back, covered in cum, excessive cum, cum everywhere, post sex, sweat, tired, cum leaking from vagina, cum on breasts, cum on body, hands on vagina, lifting testicles, revealing vagina,

<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>, <lora:ATRex_style:.45>, <lora:Libidos_Style__IllustriousPony:.3>, <lora:Bolted_On_Lips_v4:.4>, <lora:gideon_IL:.18>, <lora:Vikings_Gideon_Lora:.18>,",1572637644,1216,1216,DPM++ 2M,7,30,00005-1572637644.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, purple eyes, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring, low angle, high angle, white fur, cum, precum, wet, penis tongue, white hair, white face, white markings, breasts pov, female pov, futanari pov, pubic hair, gloves, muscular male,",prefectIllustriousXL_40,462cf8610a
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, (thick outlines, thick contours),

outdoors, farm, hay,

1girl, ((bovine girl: 1.4)), anthro, ((furry: 1.4)), furry girl, long eyelashes, furry bovine girl, sexy, ((narrow eyes: 1.3)), cow eyes, cow pupils, brown eyes, cow ears, ((bovine fur: 1)), cow spots fur, bovine spotted fur, ((black and white cow fur: 1.3)), ((cow face: 1.3)), huge lips, full lips, thick lips, bolted on lips, bimbo lips, short hair futanari, white hair futanari, slicked back hair futanari, tired,


big breasts, gigantic ass, bubble butt, wide hips, ribs visible, hyper muscular futanari, toned body, toned abs, hyper huge muscles, huge arms, huge legs, huge shoulders, hyper muscular, hyper muscles, fat, chubby,

naked, nude,

gigantic futanari penis, hyper long futanari penis, gigantic futanari testicles, very thick futanari penis, veiny futanari penis, equine futanari penis, futanari horse penis, pink and black futanari horse penis, vagina, Penis between breasts, penis over shoulder,

dynamic view, dynamic angle, dynamic shot, ((focus on Horse girl)), closeup, looking down at vagina,

lying on back, covered in cum, excessive cum, cum everywhere, post sex, sweat, tired, cum leaking from vagina, cum on breasts, cum on body, hands on vagina, lifting testicles, revealing vagina,

<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>, <lora:ATRex_style:.45>, <lora:Libidos_Style__IllustriousPony:.3>, <lora:Bolted_On_Lips_v4:.4>, <lora:gideon_IL:.18>, <lora:Vikings_Gideon_Lora:.18>,",1572637651,1216,1216,DPM++ 2M,7,30,00006-1572637651.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, purple eyes, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring, low angle, high angle, white fur, cum, precum, wet, penis tongue, white hair, white face, white markings, breasts pov, female pov, futanari pov, pubic hair, gloves, muscular male,",prefectIllustriousXL_40,462cf8610a
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, (thick outlines, thick contours),

outdoors, farm, hay,

1girl, ((bovine girl: 1.4)), anthro, ((furry: 1.4)), furry girl, long eyelashes, furry bovine girl, sexy, ((narrow eyes: 1.3)), cow eyes, cow pupils, brown eyes, cow ears, ((bovine fur: 1)), cow spots fur, bovine spotted fur, ((black and white cow fur: 1.3)), ((cow face: 1.3)), huge lips, full lips, thick lips, bolted on lips, bimbo lips, short hair futanari, white hair futanari, slicked back hair futanari, tired,


big breasts, gigantic ass, bubble butt, wide hips, ribs visible, hyper muscular futanari, toned body, toned abs, hyper huge muscles, huge arms, huge legs, huge shoulders, hyper muscular, hyper muscles, fat, chubby,

naked, nude,

gigantic futanari penis, hyper long futanari penis, gigantic futanari testicles, very thick futanari penis, veiny futanari penis, equine futanari penis, futanari horse penis, pink and black futanari horse penis, vagina, Penis between breasts, penis over shoulder,

dynamic view, dynamic angle, dynamic shot, ((focus on Horse girl)), closeup, looking down at vagina,

lying on back, covered in cum, excessive cum, cum everywhere, post sex, sweat, tired, cum leaking from vagina, cum on breasts, cum on body, hands on vagina, lifting testicles, revealing vagina,

<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>, <lora:ATRex_style:.45>, <lora:Libidos_Style__IllustriousPony:.3>, <lora:Bolted_On_Lips_v4:.4>, <lora:gideon_IL:.18>, <lora:Vikings_Gideon_Lora:.18>,",1572637653,1216,1216,DPM++ 2M,7,30,00007-1572637653.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, purple eyes, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring, low angle, high angle, white fur, cum, precum, wet, penis tongue, white hair, white face, white markings, breasts pov, female pov, futanari pov, pubic hair, gloves, muscular male,",prefectIllustriousXL_40,462cf8610a
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, (thick outlines, thick contours),

outdoors, farm, hay,

1girl, ((bovine girl: 1.4)), anthro, ((furry: 1.4)), furry girl, long eyelashes, furry bovine girl, sexy, ((narrow eyes: 1.3)), cow eyes, cow pupils, brown eyes, cow ears, ((bovine fur: 1)), cow spots fur, bovine spotted fur, ((black and white cow fur: 1.3)), ((cow face: 1.3)), huge lips, full lips, thick lips, bolted on lips, bimbo lips, short hair futanari, white hair futanari, slicked back hair futanari, tired,


big breasts, gigantic ass, bubble butt, wide hips, ribs visible, hyper muscular futanari, toned body, toned abs, hyper huge muscles, huge arms, huge legs, huge shoulders, hyper muscular, hyper muscles, fat, chubby,

naked, nude,

gigantic futanari penis, hyper long futanari penis, gigantic futanari testicles, very thick futanari penis, veiny futanari penis, equine futanari penis, futanari horse penis, pink and black futanari horse penis, vagina, Penis between breasts, penis over shoulder,

dynamic view, dynamic angle, dynamic shot, ((focus on Horse girl)), closeup, looking down at vagina,

lying on back, covered in cum, excessive cum, cum everywhere, post sex, sweat, tired, cum leaking from vagina, cum on breasts, cum on body, hands on vagina, lifting testicles, revealing vagina,

<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>, <lora:ATRex_style:.45>, <lora:Libidos_Style__IllustriousPony:.3>, <lora:Bolted_On_Lips_v4:.4>, <lora:gideon_IL:.18>, <lora:Vikings_Gideon_Lora:.18>,",1572637654,1216,1216,DPM++ 2M,7,30,00008-1572637654.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, purple eyes, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring, low angle, high angle, white fur, cum, precum, wet, penis tongue, white hair, white face, white markings, breasts pov, female pov, futanari pov, pubic hair, gloves, muscular male,",prefectIllustriousXL_40,462cf8610a
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, (thick outlines, thick contours),

outdoors, farm, hay,

1girl, ((bovine girl: 1.4)), anthro, ((furry: 1.4)), furry girl, long eyelashes, furry bovine girl, sexy, ((narrow eyes: 1.3)), cow eyes, cow pupils, brown eyes, cow ears, ((bovine fur: 1)), cow spots fur, bovine spotted fur, ((black and white cow fur: 1.3)), ((cow face: 1.3)), huge lips, full lips, thick lips, bolted on lips, bimbo lips, short hair futanari, white hair futanari, slicked back hair futanari, tired,


big breasts, gigantic ass, bubble butt, wide hips, ribs visible, hyper muscular futanari, toned body, toned abs, hyper huge muscles, huge arms, huge legs, huge shoulders, hyper muscular, hyper muscles, fat, chubby,

naked, nude,

gigantic futanari penis, hyper long futanari penis, gigantic futanari testicles, very thick futanari penis, veiny futanari penis, equine futanari penis, futanari horse penis, pink and black futanari horse penis, vagina, Penis between breasts, penis over shoulder,

dynamic view, dynamic angle, dynamic shot, ((focus on Horse girl)), closeup, looking down at vagina,

lying on back, covered in cum, excessive cum, cum everywhere, post sex, sweat, tired, cum leaking from vagina, cum on breasts, cum on body, hands on vagina, lifting testicles, revealing vagina,

<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>, <lora:ATRex_style:.45>, <lora:Libidos_Style__IllustriousPony:.3>, <lora:Bolted_On_Lips_v4:.4>, <lora:gideon_IL:.18>, <lora:Vikings_Gideon_Lora:.18>,",1572637656,1216,1216,DPM++ 2M,7,30,00009-1572637656.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, purple eyes, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring, low angle, high angle, white fur, cum, precum, wet, penis tongue, white hair, white face, white markings, breasts pov, female pov, futanari pov, pubic hair, gloves, muscular male,",prefectIllustriousXL_40,462cf8610a
